"Year","Player"
1982,"Sidney Moncrief"
1983,"Sidney Moncrief"
1984,"Mark Eaton"
1985,"Alvin Robertson"
1986,"Michael Cooper"
1987,"Michael Jordan"
1988,"Mark Eaton"
1989,"Dennis Rodman"
1990,"Dennis Rodman"
1991,"David Robinson"
1992,"Hakeem Olajuwon"
1993,"Hakeem Olajuwon"
1994,"Dikembe Mutombo"
1995,"Gary Payton"
1996,"Dikembe Mutombo"
1997,"Dikembe Mutombo"
1998,"Alonzo Mourning"
1999,"Alonzo Mourning"
2000,"Dikembe Mutombo"
2001,"Ben Wallace"
2002,"Ben Wallace"
2003,"Ron Artest"
2004,"Ben Wallace"
2005,"Ben Wallace"
2006,"Marcus Camby"
2007,"Kevin Garnett"
2008,"Dwight Howard"
2009,"Dwight Howard"
2010,"Dwight Howard"
2011,"Tyson Chandler"
2012,"Marc Gasol"
2013,"Joakim Noah"
2014,"Kawhi Leonard"
2015,"Kawhi Leonard"
2016,"Draymond Green"
2017,"Rudy Gobert"
2018,"Rudy Gobert"
2019,"Giannis Antetokounmpo"
2020,"Rudy Gobert"
