"Year","Player"
1959,"Chuck Hyatt"
1959,"Hank Luisetti"
1959,"George Mikan"
1959,"John Schommer"
1960,"Vic Hanson"
1960,"Ed Macauley"
1960,"Branch McCracken"
1960,"Charles Murphy"
1960,"John Wooden"
1961,"Bennie Borgmann"
1961,"Forrest DeBernardi"
1961,"Bob Kurland"
1961,"Andy Phillip"
1961,"John Roosma"
1961,"Chris Steinmetz"
1961,"Ed Wachter"
1962,"Jack McCracken"
1962,"Pat Page"
1962,"Barney Sedran"
1962,"John Thompson"
1963,"Robert Gruenig"
1964,"Bud Foster"
1964,"Nat Holman"
1964,"John Russell"
1966,"Joe Lapchick"
1969,"Dutch Dehnert"
1970,"Bob Davies"
1971,"Bob Cousy"
1971,"Bob Pettit"
1972,"Paul Endacott"
1972,"Marty Friedman"
1973,"John Beckman"
1973,"Dolph Schayes"
1974,"Ernest Schmidt"
1975,"Joe Brennan"
1975,"Bill Russell"
1975,"Robert Vandivier"
1976,"Tom Gola"
1976,"Ed Krause"
1976,"Bill Sharman"
1977,"Elgin Baylor"
1977,"Lauren Gale"
1977,"William Johnson"
1978,"Paul Arizin"
1978,"Joe Fulks"
1978,"Cliff Hagan"
1978,"Jim Pollard"
1979,"Wilt Chamberlain"
1980,"Jerry Lucas"
1980,"Oscar Robertson"
1980,"Jerry West"
1981,"Tom Barlow"
1982,"Hal Greer"
1982,"Slater Martin"
1982,"Frank Ramsey"
1982,"Willis Reed"
1983,"Bill Bradley"
1983,"Dave DeBusschere"
1983,"Jack Twyman"
1984,"John Havlicek"
1984,"Sam Jones"
1985,"Al Cervi"
1985,"Nate Thurmond"
1986,"Billy Cunningham"
1986,"Tom Heinsohn"
1987,"Rick Barry"
1987,"Walt Frazier"
1987,"Bob Houbregs"
1987,"Pete Maravich"
1987,"Bobby Wanzer"
1988,"Clyde Lovellette"
1988,"Bobby McDermott"
1988,"Wes Unseld"
1989,"William Gates"
1989,"K.C. Jones"
1989,"Lenny Wilkens"
1990,"Dave Bing"
1990,"Elvin Hayes"
1990,"Neil Johnston"
1990,"Earl Monroe"
1991,"Nate Archibald"
1991,"Dave Cowens"
1991,"Harry Gallatin"
1992,"Sergei Belov"
1992,"Lusia Harris-Stewart"
1992,"Connie Hawkins"
1992,"Bob Lanier"
1992,"Nera White"
1993,"Walt Bellamy"
1993,"Julius Erving"
1993,"Dan Issel"
1993,"Dick McGuire"
1993,"Ann Meyers"
1993,"Calvin Murphy"
1993,"Uļjana Semjonova"
1993,"Bill Walton"
1994,"Carol Blazejowski"
1994,"Buddy Jeannette"
1995,"Kareem Abdul-Jabbar"
1995,"Anne Donovan"
1995,"Vern Mikkelsen"
1995,"Cheryl Miller"
1996,"Krešimir Ćosić"
1996,"George Gervin"
1996,"Gail Goodrich"
1996,"Nancy Lieberman"
1996,"David Thompson"
1996,"George Yardley"
1997,"Joan Crawford"
1997,"Denise Curry"
1997,"Alex English"
1997,"Bailey Howell"
1998,"Larry Bird"
1998,"Marques Haynes"
1998,"Arnie Risen"
1999,"Kevin McHale"
2000,"Bob McAdoo"
2000,"Isiah Thomas"
2001,"Moses Malone"
2002,"Magic Johnson"
2002,"Dražen Petrović"
2003,"Dino Meneghin"
2003,"Robert Parish"
2003,"James Worthy"
2004,"Dražen Dalipagić"
2004,"Clyde Drexler"
2004,"Maurice Stokes"
2004,"Lynette Woodard"
2005,"Hortencia de Fatima Marcari"
2006,"Charles Barkley"
2006,"Joe Dumars"
2006,"Dominique Wilkins"
2008,"Adrian Dantley"
2008,"Patrick Ewing"
2008,"Hakeem Olajuwon"
2009,"Michael Jordan"
2009,"David Robinson"
2009,"John Stockton"
2010,"Cynthia Cooper-Dyke"
2010,"Dennis Johnson"
2010,"Gus Johnson"
2010,"Karl Malone"
2010,"Ubiratan Pereira Maciel"
2010,"Scottie Pippen"
2011,"Dennis Rodman"
2011,"Chris Mullin"
2011,"Arvydas Sabonis"
2011,"Artis Gilmore"
2011,"Teresa Edwards"
2011,"Goose Tatum"
2012,"Mel Daniels"
2012,"Katrina McClain"
2012,"Reggie Miller"
2012,"Ralph Sampson"
2012,"Chet Walker"
2012,"Jamaal Wilkes"
2013,"Roger Brown"
2013,"Bernard King"
2013,"Gary Payton"
2013,"Richie Guerin"
2013,"Dawn Staley"
2013,"Oscar Schmidt"
2014,"Šarūnas Marčiulionis"
2014,"Alonzo Mourning"
2014,"Mitch Richmond"
2014,"Guy Rodgers"
2015,"Louie Dampier"
2015,"Spencer Haywood"
2015,"John Isaacs"
2015,"Lisa Leslie"
2015,"Dikembe Mutombo"
2015,"Jo Jo White"
2016,"Yao Ming"
2016,"Cumberland Posey"
2016,"Sheryl Swoopes"
2016,"Zelmo Beaty"
2016,"Shaquille O'Neal"
2016,"Allen Iverson"
2017,"Tracy McGrady"
2017,"Nikos Galis"
2017,"George McGinnis"
2018,"Ray Allen"
2018,"Maurice Cheeks"
2018,"Grant Hill"
2018,"Jason Kidd"
2018,"Steve Nash"
2018,"Katie Smith"
2018,"Tina Thompson"
2018,"Ora Mae Washington"
2018,"Dino Rađa"
2018,"Charlie Scott"
2019,"Carl Braun"
2019,"Chuck Cooper"
2019,"Vlade Divac"
2019,"Bobby Jones"
2019,"Sidney Moncrief"
2019,"Jack Sikma"
2019,"Teresa Weatherspoon"
2019,"Paul Westphal"
2020,"Kobe Bryant"
2020,"Tamika Catchings"
2020,"Tim Duncan"
2020,"Kevin Garnett"
2021,"Chris Bosh"
2021,"Bob Dandridge"
2021,"Yolanda Griffith"
2021,"Lauren Jackson"
2021,"Fats Jenkins"
2021,"Toni Kukoč"
2021,"Pearl Moore"
2021,"Paul Pierce"
2021,"Ben Wallace"
2021,"Chris Webber"
