"Year","Player"
1955,"Bob Pettit"
1956,"Bob Cousy"
1957,"Bill Russell"
1958,"Bob Pettit"
1959,"Wilt Chamberlain"
1960,"Bill Russell"
1961,"Bill Russell"
1962,"Bill Russell"
1963,"Oscar Robertson"
1964,"Bill Russell"
1965,"Wilt Chamberlain"
1966,"Wilt Chamberlain"
1967,"Wilt Chamberlain"
1968,"Wes Unseld"
1969,"Willis Reed"
1970,"Lew Alcindor"
1971,"Kareem Abdul-Jabbar"
1972,"Dave Cowens"
1973,"Kareem Abdul-Jabbar"
1974,"Bob McAdoo"
1975,"Kareem Abdul-Jabbar"
1976,"Kareem Abdul-Jabbar"
1977,"Bill Walton"
1978,"Moses Malone"
1979,"Kareem Abdul-Jabbar"
1980,"Julius Erving"
1981,"Moses Malone"
1982,"Moses Malone"
1983,"Larry Bird"
1984,"Larry Bird"
1985,"Larry Bird"
1986,"Magic Johnson"
1987,"Michael Jordan"
1988,"Magic Johnson"
1989,"Magic Johnson"
1990,"Michael Jordan"
1991,"Michael Jordan"
1992,"Charles Barkley"
1993,"Hakeem Olajuwon"
1994,"David Robinson"
1995,"Michael Jordan"
1996,"Karl Malone"
1997,"Michael Jordan"
1998,"Karl Malone"
1999,"Shaquille O"Neal"
2000,"Allen Iverson"
2001,"Tim Duncan"
2002,"Tim Duncan"
2003,"Kevin Garnett"
2004,"Steve Nash"
2005,"Steve Nash"
2006,"Dirk Nowitzki"
2007,"Kobe Bryant"
2008,"LeBron James"
2009,"LeBron James"
2010,"Derrick Rose"
2011,"LeBron James"
2012,"LeBron James"
2013,"Kevin Durant"
2014,"Stephen Curry"
2015,"Stephen Curry"
2016,"Russell Westbrook"
2017,"James Harden"
2018,"Giannis Antetokounmpo"
2019,"Giannis Antetokounmpo"
2020,"Nikola Jokić"
